Date,Close,Open,High,Low
10/22/2024,18573.13,18451.86,18620.71,18413.47
10/21/2024,18540,18456.48,18543.58,18377.62
10/18/2024,18489.55,18466,18524.33,18452.58
10/17/2024,18373.61,18537.21,18541.46,18368.79
10/16/2024,18367.08,18333.29,18383.11,18214.96
10/15/2024,18315.59,18515.97,18564.25,18252.52
10/14/2024,18502.69,18426.66,18547.92,18423.6
10/11/2024,18342.94,18217.73,18375.53,18208.44
10/10/2024,18282.05,18200.62,18333.39,18154.18
10/9/2024,18291.62,18179.22,18302.05,18133.02
10/8/2024,18182.92,18017.93,18203.04,17989.7
10/7/2024,17923.9,18080.11,18096.33,17900.04
10/4/2024,18137.85,18130.42,18145.28,17952.3
10/3/2024,17918.48,17859.49,18011.25,17826.42
10/2/2024,17925.12,17867.12,17978.57,17767.79
10/1/2024,17910.36,18154.94,18162.72,17779.77
9/30/2024,18189.17,18069.83,18198.16,17997.56
9/27/2024,18119.59,18228.78,18238.28,18069.18
9/26/2024,18190.29,18327.34,18327.34,18071.74
9/25/2024,18082.21,18050.36,18155.03,18040.62
9/24/2024,18074.52,18046.44,18091.96,17863.38
9/23/2024,17974.27,17994.91,18021.58,17936.37
